Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 99.48      1.90     1.90       23     0.08     0.08  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.52      1.91     0.01        2     0.01     0.01  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      1.91     0.00    83424     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      1.91     0.00    41710     0.00     0.00  double* std::__niter_base<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      1.91     0.00       14     0.00     0.00  CxxTest::ErrorPrinter::Adapter::operator<<(char const*)
  0.00      1.91     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.91     0.00       12     0.00     0.00  CxxTest::TestTracker::tracker()
  0.00      1.91     0.00       12     0.00     0.00  CxxTest::Link::active() const
  0.00      1.91     0.00        9     0.00     0.00  CxxTest::TestTracker::dummyWorld() const
  0.00      1.91     0.00        9     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      1.91     0.00        8     0.00     0.00  boost::detail::sp_counted_base::destroy()
  0.00      1.91     0.00        8     0.00     0.00  boost::detail::sp_counted_impl_p<SimpleStimulus>::~sp_counted_impl_p()
  0.00      1.91     0.00        8     0.00     0.00  boost::detail::sp_counted_impl_p<BoundaryConditionsContainer<3u, 3u, 2u> >::~sp_counted_impl_p()
  0.00      1.91     0.00        8     0.00     0.00  CxxTest::TestTracker::dummySuite() const
  0.00      1.91     0.00        8     0.00     0.00  CxxTest::DummyWorldDescription::suiteDescription(unsigned int) const
  0.00      1.91     0.00        8     0.00     0.00  std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> > const&)
  0.00      1.91     0.00        8     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int const&>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int const&)
  0.00      1.91     0.00        7     0.00     0.00  CxxTest::Link::Link()
  0.00      1.91     0.00        7     0.00     0.00  CxxTest::Link::~Link()
  0.00      1.91     0.00        6     0.00     0.00  CxxTest::TestTracker::setTest(CxxTest::TestDescription const*)
  0.00      1.91     0.00        6     0.00     0.00  CxxTest::ErrorPrinter::Adapter::flush()
  0.00      1.91     0.00        6     0.00     0.00  CxxTest::List::head()
  0.00      1.91     0.00        6     0.00     0.00  CxxTest::TestTracker::fixTest(CxxTest::TestDescription const*) const
  0.00      1.91     0.00        5     0.00     0.00  CxxTest::ErrorPrinter::Adapter::operator<<(void (*)(CxxTest::OutputStream&))
  0.00      1.91     0.00        5     0.00     0.00  CxxTest::TestTracker::dummyTest() const
  0.00      1.91     0.00        5     0.00     0.00  CxxTest::DummySuiteDescription::testDescription(unsigned int) const
  0.00      1.91     0.00        4     0.00     0.00  void SetConductivities<3u>(BidomainProblem<3u>&)
